dallas_idx,name,series_code,line_no,bea_label
1,New Domestic Autos,DNDCRG,7,New domestic autos
2,New Foreign Autos,DNFCRG,8,New foreign autos
3,New Light Trucks,DNWTRG,9,New light trucks
4,Used Autos,DNPURG,13,Used autos
5,Used Light Trucks,DUTRRG,17,Used light trucks
6,Tires,DTATRG,21,Tires
7,Accessories & Parts,DPAARG,22,Accessories and parts
8,Furniture,DFNRRG,25,Furniture
9,Clock/Lamp/Lighting Fixture/Other Household Decorative Items,DCLFRG,26,"Clocks, lamps, lighting fixtures, and other household decorative items"
10,Carpets & Other Floor Coverings,DFLRRG,27,Carpets and other floor coverings
11,Window Coverings,DWCTRG,28,Window coverings
12,Major Household Appliances,DMHARG,30,Major household appliances
13,Small Electric Household Appliances,DSEARG,31,Small electric household appliances
14,Dishes and Flatware,DCHNRG,33,Dishes and flatware
15,Non-Electric Cookware & Tableware,DNECRG,34,Nonelectric cookware and tableware
16,"Tools, Hardware & Supplies",DHDWRG,36,"Tools, hardware, and supplies"
17,Outdoor Equipment & Supplies,DLWNRG,37,Outdoor equipment and supplies
18,Televisions,DTVSRG,41,Televisions
19,Other Video Equipment,DOVARG,42,Other video equipment
20,Audio Equipment,DAUDRG,43,Audio equipment
21,Prerecorded/Blank Audio Disc/Tape/Digital Files/Download,DRTDRG,45,"Audio discs, tapes, vinyl, and permanent digital downloads"
22,"Video Cassettes & Discs, Blank & Prerecorded",DOVERG,46,"Video discs, tapes, and permanent digital downloads"
23,Photographic Equipment,DCAMRG,47,Photographic equipment
24,Personal Computers & Peripheral Equipment,DCPPRG,49,Personal computers/tablets and peripheral equipment
25,Computer Software & Accessories,DCPSRG,50,Computer software and accessories
26,Calculators/Typewriters/Other Info Processing Equipment,DOIPRG,51,"Calculators, typewriters, and other information processing equipment"
27,"Sporting Equipment, Supplies, Guns & Ammunition",DSPGRG,52,"Sporting equipment, supplies, guns, and ammunition (part of 80)"
28,Motorcycles,DMCYRG,54,Motorcycles
29,Bicycles & Accessories,DBCYRG,55,Bicycles and accessories
30,Pleasure Boats,DBOARG,57,Pleasure boats
31,Pleasure Aircraft,DAIRRG,58,Pleasure aircraft
32,Other Recreational Vehicles,DREVRG,59,Other recreational vehicles
33,Recreational Books,DRBKRG,60,Recreational books (part of 90)
34,Musical Instruments,DMSCRG,61,Musical instruments (part of 80)
35,Jewelry,DJLYRG,64,Jewelry
36,Watches,DWTCRG,65,Watches
